baseline_method,method,paired_seeds,baseline_successes,method_successes,paired_success_delta_mean,paired_success_delta_sum,selected_worst_error_diff_mean,selected_worst_error_diff_mean_bootstrap95_lower,selected_worst_error_diff_mean_bootstrap95_upper,selected_worst_error_diff_median,selected_worst_error_diff_median_bootstrap95_lower,selected_worst_error_diff_median_bootstrap95_upper,selected_worst_error_diff_negative_favors_method,selected_worst_error_method_wins,selected_worst_error_method_losses,selected_worst_error_ties,selected_worst_error_sign_test_p_two_sided
all_windows_continuous,random,30,30,11,-0.6333333333333333,-19,0.059480571084965926,0.05326986507465706,0.06589405994350821,0.05870113930680925,0.05366837355768456,0.061192599738610604,True,0,30,0,1.862645149230957e-09
all_windows_continuous,cross_entropy,30,30,30,0.0,0,0.033260417185048526,0.03265749042311487,0.03373886138937154,0.034014333786231296,0.034014333786231296,0.034014333786231296,True,0,30,0,1.862645149230957e-09
all_windows_continuous,genetic,30,30,30,0.0,0,0.03249989307571837,0.031818448190287105,0.033097624246103054,0.03250443539374,0.0323257654079059,0.034014333786231296,True,0,30,0,1.862645149230957e-09
all_windows_continuous,true_sa,30,30,30,0.0,0,0.033378366603564746,0.0328944308147835,0.033750772721760476,0.034014333786231296,0.034014333786231296,0.034014333786231296,True,0,30,0,1.862645149230957e-09
all_windows_continuous,surrogate_qubo_sa,30,30,30,0.0,0,0.03309901929710229,0.03259818134264027,0.033537467234653076,0.034014333786231296,0.03250443539374,0.034014333786231296,True,0,30,0,1.862645149230957e-09
all_windows_continuous,qaoa_statevector,30,30,13,-0.5666666666666667,-17,0.048398427339084914,0.04220021489827174,0.05441368722244975,0.0607701788117757,0.0323257654079059,0.06197261945848351,True,0,30,0,1.862645149230957e-09
surrogate_qubo_sa,random,30,30,11,-0.6333333333333333,-19,0.026381551787863642,0.02012893887293327,0.03278922561121681,0.024686805520577955,0.020909077715388004,0.02848630860198665,True,4,26,0,5.947612226009369e-05
surrogate_qubo_sa,cross_entropy,30,30,30,0.0,0,0.0001613978879462329,-0.0006207862493654025,0.000915314489129015,0.0,0.0,0.0007549491962456495,True,7,10,13,0.629058837890625
surrogate_qubo_sa,genetic,30,30,30,0.0,0,-0.0005991262213839082,-0.0014554648291161235,0.0002104476578296442,0.0,-0.001509898392491299,0.0,True,11,6,13,0.332305908203125
surrogate_qubo_sa,true_sa,30,30,30,0.0,0,0.0002793473064624634,-0.00044655872938998467,0.0009922260862368461,0.0,0.0,0.001509898392491299,True,9,11,10,0.8238029479980469
surrogate_qubo_sa,qaoa_statevector,30,30,13,-0.5666666666666667,-17,0.015299408041982624,0.009035470549941929,0.021375174872401346,0.02795828567225221,-0.0007549491962456495,0.029646854050577605,True,10,18,2,0.1849333420395851
surrogate_qubo_sa,all_windows_continuous,30,30,30,0.0,0,-0.03309901929710229,-0.033537467234653076,-0.03259818134264027,-0.034014333786231296,-0.034014333786231296,-0.03250443539374,True,30,0,0,1.862645149230957e-09
