seed,ridge,train_rmse,val_rmse,train_r2,val_r2,val_spearman,val_pairwise_order_accuracy,val_top_k,val_top_k_recall,n_train,n_val,shared_qubo_training_evaluations,qubo_training_true_evaluations,equal_total_budget
11,0.0001,9.246351612114201e-05,0.1056069233955214,0.9999999971952624,0.9960857825057975,0.9895652173913043,0.967391304347826,5,1.0,72,24,96,96,True
23,0.0001,0.00011851979456113975,0.5662881679050501,0.9999999958099473,0.9219722964741659,0.9,0.8804347826086957,5,0.6,72,24,96,96,True
37,0.0001,8.008583967346345e-05,0.1579280747274493,0.9999999978157347,0.9922865325769863,0.9878260869565217,0.9637681159420289,5,1.0,72,24,96,96,True
41,0.0001,0.00017417087389187002,0.5265310120373468,0.9999999906918218,0.9404670270220507,0.9469565217391305,0.9130434782608695,5,0.8,72,24,96,96,True
53,0.0001,7.339310683110174e-05,0.257585208635206,0.9999999984211665,0.9601013963598934,0.948695652173913,0.927536231884058,5,1.0,72,24,96,96,True
67,0.0001,0.00014486384086970135,0.4434554871369572,0.9999999921668768,0.9677333681807061,0.9652173913043478,0.9347826086956522,5,0.6,72,24,96,96,True
79,0.0001,0.00013590699496106204,0.24067181619903388,0.9999999941676793,0.9847838000510889,0.9756415832970855,0.9490909090909091,5,0.8,72,24,96,96,True
83,0.0001,0.00011758675588547415,0.2601282997373156,0.9999999967431792,0.9743642039951795,0.9556521739130435,0.927536231884058,5,0.8,72,24,96,96,True
97,0.0001,9.523295660129855e-05,0.17681605669991957,0.9999999970002023,0.9916155098729947,0.9791304347826087,0.9528985507246377,5,1.0,72,24,96,96,True
101,0.0001,8.225966346261479e-05,0.26527558838785875,0.9999999975605306,0.9590862556735614,0.9747826086956521,0.9384057971014492,5,1.0,72,24,96,96,True
107,0.0001,8.385533346766428e-05,0.23741131827227266,0.9999999982739719,0.9833053551128896,0.9686956521739131,0.9456521739130435,5,0.8,72,24,96,96,True
109,0.0001,0.00017261753691905413,0.45466226461745884,0.999999988986648,0.9674422944717375,0.9060869565217391,0.8804347826086957,5,0.6,72,24,96,96,True
113,0.0001,9.184610792100181e-05,0.10573027630361616,0.9999999975515744,0.9970438052879185,0.9956521739130435,0.9818840579710145,5,1.0,72,24,96,96,True
127,0.0001,7.033109076389777e-05,0.18663723603841317,0.999999998493935,0.9873524496799232,0.9695652173913043,0.9384057971014492,5,0.8,72,24,96,96,True
131,0.0001,0.00010091331593692453,0.16661045545575964,0.9999999969297981,0.9907040774040791,0.9895652173913043,0.967391304347826,5,1.0,72,24,96,96,True
137,0.0001,7.59234543331263e-05,0.3399492789698903,0.9999999986691667,0.9674756701200786,0.9765217391304348,0.9420289855072463,5,0.8,72,24,96,96,True
139,0.0001,0.00013097585850569253,0.5063660622765409,0.9999999942665505,0.9361073869053514,0.9060461070030447,0.8727272727272727,5,0.6,72,24,96,96,True
149,0.0001,8.094322528913968e-05,0.2472660444368994,0.9999999979050561,0.9858826470539952,0.9704219225750325,0.9454545454545454,5,0.8,72,24,96,96,True
151,0.0001,0.00012213789178002767,0.7210626410582073,0.9999999946083423,0.8972384188088471,0.9356521739130435,0.9021739130434783,5,0.8,72,24,96,96,True
157,0.0001,6.996204355920121e-05,0.17283131249197592,0.9999999987401458,0.987928169028879,0.9686956521739131,0.9347826086956522,5,0.8,72,24,96,96,True
163,0.0001,7.517363514786553e-05,0.24857477156182398,0.9999999981926867,0.9782535893065492,0.9826086956521739,0.9601449275362319,5,1.0,72,24,96,96,True
167,0.0001,8.19564450541648e-05,0.22590106155066828,0.9999999977306074,0.9734948838562719,0.9504347826086956,0.9130434782608695,5,0.8,72,24,96,96,True
173,0.0001,0.000134394591941091,0.3512289699439101,0.9999999931790385,0.9726751559326279,0.9452173913043478,0.9094202898550725,5,0.6,72,24,96,96,True
179,0.0001,0.0001352266826938135,0.3290798381662782,0.9999999932909525,0.9832929618379775,0.9643323183993039,0.9345454545454546,5,0.6,72,24,96,96,True
181,0.0001,8.048722061482772e-05,0.2011707975405655,0.9999999982288041,0.9839301139956059,0.9808695652173913,0.9492753623188406,5,0.8,72,24,96,96,True
191,0.0001,6.712108207842385e-05,0.11792148191867637,0.9999999987328998,0.9966677112211009,0.9860869565217392,0.9637681159420289,5,0.8,72,24,96,96,True
193,0.0001,0.0001603911961071466,0.22401161644391682,0.9999999929971429,0.9894987486410798,0.9869508481948671,0.96,5,1.0,72,24,96,96,True
197,0.0001,0.00010233123684963166,0.17313848673096696,0.9999999970486434,0.9910591239527342,0.9947803392779467,0.9818181818181818,5,1.0,72,24,96,96,True
199,0.0001,8.351485781054716e-05,0.18784380989558944,0.9999999985669187,0.9940607302122502,0.971304347826087,0.9384057971014492,5,0.8,72,24,96,96,True
211,0.0001,0.00022450926577288863,0.3397821518400855,0.9999999818688362,0.9826525764278701,0.9373913043478261,0.9130434782608695,5,0.8,72,24,96,96,True
