seed,ridge,train_rmse,val_rmse,train_r2,val_r2,val_spearman,val_pairwise_order_accuracy,val_top_k,val_top_k_recall,n_train,n_val,shared_qubo_training_evaluations,qubo_training_true_evaluations
11,0.0001,9.246351612114201e-05,0.1056069233955214,0.9999999971952624,0.9960857825057975,0.9895652173913043,0.967391304347826,5,1.0,72,24,96,96
23,0.0001,0.00011851979456113975,0.5662881679050501,0.9999999958099473,0.9219722964741659,0.9,0.8804347826086957,5,0.6,72,24,96,96
37,0.0001,8.008583967346345e-05,0.1579280747274493,0.9999999978157347,0.9922865325769863,0.9878260869565217,0.9637681159420289,5,1.0,72,24,96,96
41,0.0001,0.00017417087389187002,0.5265310120373468,0.9999999906918218,0.9404670270220507,0.9469565217391305,0.9130434782608695,5,0.8,72,24,96,96
53,0.0001,7.339310683110174e-05,0.257585208635206,0.9999999984211665,0.9601013963598934,0.948695652173913,0.927536231884058,5,1.0,72,24,96,96
67,0.0001,0.00014486384086970135,0.4434554871369572,0.9999999921668768,0.9677333681807061,0.9652173913043478,0.9347826086956522,5,0.6,72,24,96,96
79,0.0001,0.00013590699496106204,0.24067181619903388,0.9999999941676793,0.9847838000510889,0.9756415832970855,0.9490909090909091,5,0.8,72,24,96,96
83,0.0001,0.00011758675588547415,0.2601282997373156,0.9999999967431792,0.9743642039951795,0.9556521739130435,0.927536231884058,5,0.8,72,24,96,96
97,0.0001,9.523295660129855e-05,0.17681605669991957,0.9999999970002023,0.9916155098729947,0.9791304347826087,0.9528985507246377,5,1.0,72,24,96,96
101,0.0001,8.225966346261479e-05,0.26527558838785875,0.9999999975605306,0.9590862556735614,0.9747826086956521,0.9384057971014492,5,1.0,72,24,96,96
